"Coffee Type","Price","Coffee Description","Coffee Image","ID","Created Date","Updated Date","Owner","AED"
"Macchiato",24,"Smooth coffee made with espresso and steamed milk","wix:image://v1/edde33_e39d4eb2439f4ec39569e403aab61676~mv2.jpg/Macchiato_edited.jpg#originWidth=298&originHeight=278","0b108934-e457-41cc-8234-dd741810aca4",2024-11-13T17:00:17Z,2024-11-14T07:42:51Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Classic Hot Chocolate",32,,"wix:image://v1/edde33_92d1f21780274bb6a95e8b0247914723~mv2.jpg/Classic%20Hot%20Chocolate_edited.jpg#originWidth=300&originHeight=300","0e5c2f1f-e52d-4ce2-9d6a-ea405d4af00f",2024-11-13T17:02:57Z,2024-11-14T07:23:42Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Mocha",28,,"wix:image://v1/edde33_d34b09be93df4f9588e9fe8f0167073a~mv2.jpg/Mocha_edited.jpg#originWidth=346&originHeight=346","13bf11b9-494e-491e-b7c2-dd84a4543a79",2024-11-13T17:02:55Z,2024-11-14T07:44:13Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Flat White",34,,"wix:image://v1/edde33_8fe2abd1b9cd47c8a0f9e04e0838aa0b~mv2.jpg/Flat%20White_edited_edited.jpg#originWidth=346&originHeight=346","14e6b45a-479f-4bcc-b362-6d65e6342ee5",2024-11-13T17:02:51Z,2024-11-14T07:42:08Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Caramel Latte",38,,"wix:image://v1/edde33_6ea31e1a1789426f9a096f0eb3c9f5bb~mv2.jpg/Caramel%20Latte_edited.jpg#originWidth=346&originHeight=346","18cbdeca-4f7f-4f42-8fc3-882442e19a85",2024-11-13T17:02:54Z,2024-11-14T07:22:32Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Spanish Latte Hot",38,,"wix:image://v1/edde33_af7226b94b95460d81515268c903088b~mv2.jpg/Spanish%20Latte%20Hot_edited.jpg#originWidth=346&originHeight=346","22a063d5-d51a-409f-8a46-a1491d233e15",2024-11-13T17:02:53Z,2024-11-14T07:49:08Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Cortado",27,"Diluted espresso topped with hot water, resembling American-style brewed coffee","wix:image://v1/edde33_1c39a5b0748c4cba99fa0aa4d057ba6e~mv2.jpg/Cortado_edited.jpg#originWidth=346&originHeight=346","2c79f8ca-ccf3-45c2-aeef-e835e0b07a64",2024-11-13T17:00:17Z,2024-11-14T07:24:22Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Americano",28,,"wix:image://v1/edde33_bc231b1f15724d54b0d739cb035ddd32~mv2.jpg/Americano_edited.jpg#originWidth=300&originHeight=300","389d4f34-709b-4dee-b380-137d2f62540b",2024-11-13T17:02:57Z,2024-11-14T07:19:49Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Cappuccino",35,,"wix:image://v1/edde33_89640145c00446b4b0e6af477bd43973~mv2.jpg/Cappuccino_edited.jpg#originWidth=346&originHeight=346","3bb19d32-bb8d-4373-a234-3596ce961bdb",2024-11-13T17:02:52Z,2024-11-14T07:21:24Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Rose Latte",38,,"wix:image://v1/edde33_1c44b3fac743427d8b3b49aa42796ede~mv2.jpg/Rose%20Latte_edited.jpg#originWidth=300&originHeight=300","41c2d287-e72d-4cd6-a408-8dc03e51fb03",2024-11-13T17:02:56Z,2024-11-14T07:46:51Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
"Matcha",34,,"wix:image://v1/edde33_9803df4e660d4f1a8016873129c53ebd~mv2.jpg/Matcha_edited.jpg#originWidth=346&originHeight=346","62ef05c5-5a16-4115-9c07-f817d9f5714b",2024-11-13T17:02:55Z,2024-11-14T07:43:55Z,"edde338d-c43f-495b-9819-3099bf28f025","AED"
